Faculty,Code,Title,Description,Components,Prerequisites
SEG,4545,Conception de systèmes embarqués et en temps réel ,"Nature des systèmes en temps réel dur et en temps réel mou. Évitement, détection et résolution de situations d'interblocage et de concurrence critique.  Stratégies pour garantir des réponses ponctuelles.  Architectures pour systèmes en temps réel, y compris les systèmes de contrôle et de surveillance.  Moniteurs temps réel, systèmes d'exploitation et environnements d'exécution.  Langages et outils pour concevoir, construire et analyser des systèmes en temps réel.  Pilotes et autres logiciels embarqués qui interagissent en temps réel avec le matériel.  Études de cas d'une grande variété de systèmes en temps réel.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :CEG 2536,CSI 3531,SEG 2506."
SEG,4556,Conception et analyse de logiciels de télécommunications ,"Modèles théoriques pour la conception et l'analyse de logiciels de télécommunications.  Spécification, conception et validation de protocoles.  Vérification et test de protocoles.  Test de conformité. Synthèse et transformation de protocoles.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :SEG 2506,CEG 3585."
SEG,4570,Architecture et modèles d'entreprise ,"L'architecture d'entreprise est une méthodologie de planification rigoureuse qui harmonise et intègre les besoins de la société, de la gestion et de l'ingénierie dans les entreprises et le gouvernement. Basé sur une analyse des cadres et des normes actuellement disponibles, le cours aborde la conception d'architectures d'entreprises et la dérivation de l'infrastructure des systèmes d'information qui les supportent à l'aide d'outils de modélisation spécialisés. Les étudiants qui terminent ce cours auront l'expérience nécessaire pour postuler à une certification internationale basée sur la norme TOGAF de l'organisme de normalisation OpenGroup",Volet :Cours magistral,Préalable :SEG 3501ouSEG 3525.
SEG,4580,Apprentissage automatique appliqué au génie informatique ,Théorie de base de l'apprentissage automatique. Application aux problèmes d'ingénierie. Apprentissage supervisé et non supervisé. Réseaux de neurones. Réseaux neuronaux convolutifs. Grands modèles de langage. Outils pour développer des modèles d’apprentissage automatique et des applications logicielles intégrant l’apprentissage automatique. Assurance qualité et opérations (MLOps) des systèmes d'apprentissage automatique. Ingénierie des fonctionnalités et ingénierie de requêtes. Études de cas dans divers domaines.,"Volet :Laboratoire, Cours magistral","Préalables : (MAT 1741,MAT 2777) ou (MAT 2771,MAT 2775),SEG 2505et 6 crédits de cours en CEG ou SEG de niveau 3000. Les coursCEG 4595,CSI 4545,SEG 4580, ne peuvent être combinés pour l’obtention de crédits."
SEG,4589,Introduction au commerce électronique ,"Modèles de base en commerce électronique. Infrastructures de l'Internet Mobile. Services de l'informatique en nuage, API, normes et technologies connexes. Confidentialité, sécurité et paiement électronique. Introduction aux questions techniques, juridiques et commerciales dans le commerce électronique.  Études de cas et projet pratique.",Volet :Cours magistral,"Préalables :SEG 2505,CSI 2532."
SEG,4700,Sujets en génie logiciel ,Sujets actuels et avancés en génie logiciel et disciplines connexes. Les sujets varient d'année en année.,Volet :Cours magistral,Préalable :SEG 2505
SEG,4901,Stage de travail IV / Work Term IV ,"Un stage rémunéré en milieu de travail d'une durée d'un trimestre comportant des responsabilités et de l'expérience en génie logiciel de niveau intermédiaire supérieur, supervisé quotidiennement par un employeur. Évaluations formelles à mi-parcours et à la fin du stage avec l'employeur. Les étudiants rédigent un rapport de stage de nature technique, conforme aux directives du programme. / A paid, full-semester internship with responsibilities and experience related to software engineering at an upper intermediate level, with daily supervision and guidance by an employer. Formal mid-term and end-term review and evaluation with employer.  Students complete a written technical report, conforming to program guidelines, on the internship.",Volet / Course Component:Stage / Work Term,Préalables:SEG 3902/ Prerequisites:SEG 3902
SEG,4902,Stage de travail V / Work Term V ,"Un stage rémunéré en milieu de travail d'une durée d'un trimestre comportant des responsabilités et de l'expérience en génie logiciel de niveau avancé faible, supervisé quotidiennement par un employeur. Évaluations formelles à mi-parcours et à la fin du stage avec l'employeur. Les étudiants rédigent un rapport de stage de nature technique, conforme aux directives du programme. / A paid, full-semester internship with responsibilities and experience related to software engineering at an advanced level, with daily supervision and guidance by an employer. Formal mid-term and end-term review and evaluation with employer.  Students complete a written technical report, conforming to program guidelines, on the internship.",Volet / Course Component:Stage / Work Term,Préalables:SEG 4901/ Prerequisites:SEG 4901
SEG,4903,Stage de travail VI / Work Term VI ,"Un stage rémunéré en milieu de travail d'une durée d'un trimestre comportant des responsabilités et de l'expérience en génie logiciel de niveau avancé intermédiaire, supervisé quotidiennement par un employeur. Évaluations formelles à mi-parcours et à la fin du stage avec l'employeur. Les étudiants rédigent un rapport de stage de nature technique, conforme aux directives du programme. / A paid, full-semester internship with responsibilities and experience related to software engineering at an advanced level, with daily supervision and guidance by an employer. Formal mid-term and end-term review and evaluation with employer.  Students complete a written technical report, conforming to program guidelines, on the internship.",Volet / Course Component:Stage / Work Term,Prerequisite:SEG 4902
SEG,4910,Projet génie logiciel de fin d'études 1re partie / Software Engineering Capstone Project Part 1 ,"Formation des équipes et réalisation des premières étapes d'un projet de logiciel. Gestion du projet, analyse, contrôle de qualité, conception et implantation. Documentation et présentations en classe. Ce travail est dirigé par un professeur, mais est exécuté pour un 'client externe' qui doit être satisfait des résultats. Le projet doit aussi comprendre toute étude de risque, de coûts, d'impact communautaire, de litiges légaux, afin de respecter les obligations et responsabilités d'un ingénieur professionnel. / Formation of teams and development of the first iterations of a significant software system. Work includes project management, analysis, quality assurance, design, and implementation. Deliverables include written documentation  and presentations in class. Work is guided by a professor, but is performed for an external entity designated the 'customer', who must be satisfied with the group's work.  Students are expected to address any risks or societal concerns raised by their project (legal liability, financial costs, community impact) in keeping with the obligations and responsibilities expected of a professional engineer.","Volet / Course Component:Cours magistral / Lecture, Recherche / Research","Préalables :SEG 3501,SEG 3502,SEG 3503,SEG 3525, 2 stages parmiSEG 2901,SEG 3901,SEG 3902, orSEG 4901. / Prerequisites:SEG 3101,SEG 3102,SEG 3103,SEG 3125, 2 work terms fromSEG 2901,SEG 3901,SEG 3902, orSEG 4901."
SEG,4911,Projet génie logiciel de fin d'études 2e partie / Software Engineering Capstone Project Part 2 ,"Suite du projet commencé enSEG 4910. Gestion du projet, analyse, contrôle de qualité, conception et implantation. Rapport final et présentations en classe. / Completion of work started inSEG 4910. Work includes project management, analysis, quality assurance, design, implementation and a final report. Deliverables include written documentation and presentations in class.","Volet / Course Component:Cours magistral / Lecture, Recherche / Research","Prerequisite:SEG 4910, taken the previous semester, working on the same project with the same group for the same customer."
CVG,1107,Civil Engineering Graphics and Seminars ,"Fundamentals of graphical communications. Sketching, orthographic projections, sectional views, basic dimensioning, axonometric drawings, auxiliary views, relationships between lines and planes in space, intersections and developments, fasteners, AutoCAD. Drawing of points, lines, curves, splines, 2D views (with dimensions) and 3D views on AutoCAD. Use of Layers. A project using AutoCAD. Seminars in Civil Engineering practice including ethics, environmental obligations and workplace health and safety.","Laboratory, Lecture",
CVG,1507,Dessin industriel et séminaires en génie civil ,"Notions fondamentales en communication graphique. Exécution de croquis, projections orthographiques, sections, représentations axonométriques, vues auxiliaires, relations entre lignes et surfaces dans l'espace, lignes d'intersections et développement, éléments d'attache. AutoCAD. Dessin des points, lignes, courbes, splines, vues en 2D (avec cotations) et des vues en 3D. Utilisation des niveaux. Un projet utilisant AutoCAD.  Séminaires consacrés à divers sujets dans la pratique de génie civil incluant l'éthique professionnelle, les obligations en matières d'environnement et les aspects de santé et sécurité au travail.","Volet :Laboratoire, Cours magistral",
CVG,2107,Geotechnical Materials and Processes ,"Nature and behaviour of materials forming earth's crust: their formation and alteration due to action of ice, water, and wind; glaciation; land heave; permafrost; residual soils. Basic physical properties of soils: structure; index properties; grain size and visual identification; consistency limits; organic content; classification; compaction; capillarity; shrinkage and swelling; water in soil.","Laboratory, Lecture",
CVG,2116,Introduction to Fluid Mechanics ,"Fluid statics, atmospheric stability, properties of fluids. Kinematics of fluids, analysis by continuity, energy and momentum equations. Applications of one-dimensional method to flow in pipelines, flow measurement, dynamic forces and turbo machines. Laminar and turbulent pipe flow; energy losses in pipe flow and open channel flow. Viscous and form drag in fluid flow; role of boundary layer in drag. Similitude and dimensional analysis with application to hydraulic models.","Laboratory, Lecture, Tutorial","Prerequisites:GNG 1105,MAT 1322,PHY 1122."
CVG,2132,Fundamentals of Environmental Engineering ,"An introductory study of environmental resources and their use. Relations and cycles within ecosystems. The causes, monitoring and correction of pollution of environmental systems. Water quality. Examination of water and wastewater for physical, chemical and biological characteristics.","Laboratory, Lecture, Tutorial",Prerequisite:CHM 1311.
CVG,2140,Mechanics of Materials I ,"Stress and strain, mechanical properties of materials, bending moment and shear force diagrams; stresses and deformations in members subjected to tension, compression, shear and torsion; flexural and shearing stresses in beams; deflection of beams; combined stresses.","Lecture, Tutorial",Prerequisite:GNG 1105.
CVG,2141,Civil Engineering Materials ,"Chemical, physical and mechanical properties of steels. Concrete materials and mix design. Properties of fresh and hardened concrete. Structure, properties and utilization of timber.","Laboratory, Lecture",Prerequisite:CHM 1311.
CVG,2149,Civil Engineering Mechanics ,"Basic concepts of engineering mechanics applicable to civil engineering.  Analysis of statically determinate beams, trusses and cables.  Conservation of energy, principle of impulse and momentum, angular momentum, and impact for particles and systems of particles. Kinematics of particles, system of particles and rigid bodies. D'Alembert's principle.","Lecture, Tutorial","Prerequisites:GNG 1105,MAT 1322,PHY 1122."
CVG,2170,Measurements I (4 units),Principles and analysis of civil engineering measurements. Probability and normal distribution; systematic and random errors; probabilistic principles of errors; statistical treatment of experimental data. Basic theory of mechanical and electrical strain measurement systems. Measurements in water resources and geotechnical engineering.,"Research, Discussion Group, Laboratory, Lecture, Seminar, Work Term, Theory and Laboratory, Tutorial","Prerequisites:MAT 1320,MAT 1322,MAT 1341."
CVG,2171,Surveying and Measurements ,"Theory and technique of linear and angular measurements in plane surveying. Surveying instruments: Level, Theodolite, EDM and Total Station. Topographic surveys and mapping. Astronomical observations: solar and star (Polaris) observations. Route surveying: horizontal and vertical curves.  Measurements of volumes. Principles of photogrammetry.   Includes field work on practical applications of measurement theories using surveying equipment","Lecture, Tutorial",
CVG,2181,Numerical Modelling in Civil Engineering ,"Development of computer programs in environmental geotechnical, structural and water resources engineering fields. Formulation of ordinary and partial differential equations with particular emphasis on civil engineering problems. Use of both microcomputers and mainframe facilities will be emphasized.","Laboratory, Lecture","Prerequisites: (GNG 1106orITI 1120),MAT 2322,MAT 2384."
CVG,2507,Matériaux et processus géotechniques ,"Nature et comportement des matériaux formant la croûte terrestre : leur formation et altération par l'action de la glace, de l'eau, du vent; glaciation; soulèvement terrestre; pergélisols; sols résiduels; structure; propriétés physiques fondamentales des sols; indices de propriétés; granulométrie et identification visuelle; limites de consistance; composition organique; classification; compactage; capillarité; retrait et gonflement; l'eau dans le sol.","Volet :Laboratoire, Cours magistral",
CVG,2516,Mécanique élémentaire des fluides ,"Hydrostatique, stabilité de l'atmosphère, les caractéristiques des fluides; kinématique des fluides, analyse par les méthodes de continuité d'énergie et d'impulsion. Applications de la méthode unidimensionnelle au débit en tuyaux, mesure des débits, forces dynamiques et machines hydrauliques; débit tranquille et turbulent (en tuyaux); pertes d'énergie pour les débits en tuyaux et aux canaux à ciel ouvert; résistance aux fluides dûe à la viscosité et à la forme. Rôle de la couche superficielle en résistance; similitude et analyse dimensionnelle avec applications aux modèles hydrauliques.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :GNG 1505,MAT 1722,PHY 1522."
CVG,2532,Principes fondamentaux du génie de l'environnement ,"Une étude introductive des resssources environnementales et de leur utilisation.  Relation et cycles dans les écosystèmes.  Bilan de matière et de l'énergie pour expliquer les phénomènes environnementaux.  Les causes, la surveillance, la prévention et les mesures correctives de la pollution des systèmes environnementaux. Qualité de l'eau.  Analyse de l'eau et des eaux usées en termes des caractéristiques physiques, chimiques et biologiques.  Météorologie et dispersion des polluants dans l'atmosphère.","Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :CHM 1711.
CVG,2540,Mécanique des matériaux I ,"Contrainte et déformation, propriétés mécaniques des matériaux, moment de flexion et effort tranchant; contraintes et déformations dues aux forces axiales, de flexion et de torsion; contraintes de flexion et de cisaillement dans les poutres; déflexions; contraintes combinées.","Volet :Cours magistral, Tutoriel",Préalable :GNG 1505.
CVG,2541,Matériaux du génie civil ,"Propriétés chimiques, physiques et mécaniques des aciers.  Matériaux constitutifs et formulation des bétons.  Propriétés du béton frais et durci.  Structure, propriétés et utilisation de bois de construction.","Volet :Laboratoire, Cours magistral",Préalable :CHM 1711.
CVG,2549,Mécanique de génie civil ,"Concepts de base de génie mécanique appliqués au génie civil. Étude des poutres statiquement déterminées, des treillis et des câbles. Conservation de l'énergie.  Principe de l'impulsion et de la quantité de mouvement.  Moment angulaire et impact des particules et des systèmes de particules. Cinématique des particules, de système de particules et des corps rigides. Le principe de D'Alembert.","Volet :Cours magistral, Tutoriel","Préalables :GNG 1505,MAT 1722,PHY 1522."
CVG,2571,Mesures et arpentage ,"Théorie et technique des mesures linéaires et angulaires. Instruments d'arpentage: niveau, théodolite, EDM et station total. Topographie et cartographie. Observations astronomiques solaires et astrales (Étoiles du Nord). Arpentage des routes: courbes horizontales et verticales. Mesures des volumes. Principes de la photogrammétrie.  Travail pratique sur le terrain portant sur des mesures d'arpentage.","Volet :Cours magistral, Tutoriel",
CVG,2581,Méthodes numériques en génie civil ,"Le développement de logiciels spécialisés dans les domaines de l environnement, de la géotechnique, des structures et des ressources hydriques. La formulation d'équations différentielles ordinaires et aux dérivées partielles avec un emphase sur la résolution de problèmes typiques en génie civil. Une attention particulière sera accordée à l application de ces outils au moyen de micro-ordinateurs ainsi que d ordinateurs centraux.","Volet :Laboratoire, Cours magistral","Préalables : (GNG 1506ouITI 1520),MAT 2722,MAT 2784."
CVG,3106,Soil Mechanics II ,Review of soil properties; site investigation methods; bearing capacity of shallow foundations; allowable bearing capacity and settlement analysis; lateral earth pressures; retaining wall design; sheet pile walls and braced cuts; slope stability analysis.,"Lecture, Tutorial",Prerequisite:CVG 3109.
CVG,3109,Soil Mechanics I ,"Fundamental characteristics of soils; total and effective stresses; permeability and seepage; stress and strain, shear strength; stress distribution; consolidation and settlements.","Laboratory, Lecture, Tutorial","Prerequisites:CVG 2107,CVG 2140."
CVG,3116,Hydraulics ,Review of fundamentals; flow in complex pipe systems; theory and operations of centrifugal pumps; gradually-varied open channel flows; backwater computations; flow measurements; unsteady flows; hydraulic models; sediment transport theory; introduction to wave theory.,"Laboratory, Lecture, Tutorial",Prerequisite:CVG 2116.
CVG,3120,Hydrology ,Hydrologic cycle; evaporation and transpiration; snow and snowmelt; infiltration; subsurface water; well hydraulics; stream flow; unit hydrograph and S-curve analysis of flood flows; river and reservoir routing techniques; statistics of extreme values.,"Lecture, Tutorial",Prerequisite:MAT 2377.
CVG,3132,Physical/Chemical Unit Operation of Water and Wastewater Treatment ,"Water and wastewater treatment objectives. Theory and design of the fundamental physical/chemical unit operations for water and wastewater treatment.  Flow regimes in reactors and mass balances. Unit operations:  sedimentation, mixers, flocculation, mass transfer/aeration, filtration, softening and disinfection.","Laboratory, Lecture, Tutorial","Prerequisites:CVG 2116,CVG 2132."
CVG,3140,Theory of Structures I ,"Analysis of statically determinate beams and frames. Deflections; moment-area method, conjugate-beam method, virtual work and energy methods. Analysis of statically indeterminate beams, frames and trusses; force method, flexibility method, slope-deflection method, moment distribution. Influence lines for beams, frames and trusses. Analysis of statically determinate cables and arches. Introduction to loads on structures.","Lecture, Tutorial","Prerequisites:CVG 2140,CVG 2149."
CVG,3141,Mechanics of Materials II ,"Combined stresses; buckling; unsymmetric bending, composite beams, inelastic bending, plastic collapse of beams, shear flow, shear centre; vibrations; Castigliano's theorem; torsion of thin-walled closed and open sections, inelastic torsion.","Laboratory, Lecture","Prerequisites:CVG 2140,CVG 2149,MAT 2384."
CVG,3147,Structural Steel Design I ,"Design of statically determinate steel structures. Limit States Design. Properties of structural steel. Loads from building codes. Tributary area. Live-load-reduction factors. Tension members: Effective area, shear lags. Compression members: strength and stability. Beams: Plastic flexure, local and lateral torsional buckling, shear strength, deflection control, bearing resistance. Structural bolts in shear, tension, and in combination; prying action.","Lecture, Tutorial","Prerequisites:CVG 2141,CVG 3140.MAT 2377is corequisite toCVG 3147."
CVG,3148,Reinforced Concrete Design I ,"Behaviour and design of reinforced concrete members subjected to bending, shear and axial force. Analysis of reinforced concrete sections. Design of beams, one-way slabs, columns, bearing walls and retaining walls using the ultimate strength theory and the principles of limit states design. Introduction to prestressed concrete. Design of simple prestressed concrete beams.","Laboratory, Lecture","Prerequisites:CVG 2141,CVG 3140."
CVG,3506,Mécanique des sols II ,Révision des propriétés du sol ; méthodes d'investigation du site ; capacité portante des fondations peu profondes ; capacité portante admissible et analyse du tassement ; pressions latérales du sol ; conception des murs de soutènement ; murs de palplanches et coupes contreventées ; analyse de la stabilité des pentes.,"Volet :Cours magistral, Tutoriel",Préalable :CVG 3509.
CVG,3509,Mécanique des sols I ,"Caractéristiques fondamentales des sols ; contraintes totales et effectives ; perméabilité et infiltration ; contraintes et déformations relatives, résistance au cisaillement ; répartition des contraintes ; consolidation et tassement.","Volet :Laboratoire, Cours magistral, Tutoriel","Prealables :CVG 2507,CVG 2540."
CVG,3516,Hydraulique ,Révision des principes fondamentaux ; écoulement dans les systèmes complexes de conduites ; théorie et opération de pompes centrifuges ; écoulements à surface libre graduellement variés ; calcul de courbes de remous ; mesure de débit ; écoulements non stationnaires ; modèles hydrauliques ; théorie de transport de sédiments ; introduction à la théorie des vagues.,"Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :CVG 2516.
CVG,3520,Hydrologie ,Cycle hydrologique; évaporation et transpiration; neige et fonte des des neiges; infiltration; eaux souterraines; hydraulique des puits; débit; analyse par hydrogramme unitaire et hydrogramme en S des débits d'inondation; techniques de routage en rivière et en réservoir; statistiques des valeurs extrêmes.,"Volet :Cours magistral, Tutoriel",Préalable :MAT 2777.
CVG,3532,Opérations unitaires physiques/chimiques du traitement de l'eau et des eaux usées ,"Objectifs du traitement de l'eau et des eaux usées. Théorie et conception des opérations unitaires physiques/chimiques fondamentales pour le traitement de l'eau et des eaux usées. Régimes d'écoulement dans les réacteurs et bilans massiques. Opérations unitaires : sédimentation, mélangeurs, floculation, transfert de masse/aération, filtration, adoucissement et désinfection.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :CVG 2516,CVG 2532."
CVG,3540,Théorie des structures I ,"Analyse de poutres et cadres isostatiques. Calcul des flèches ; méthode des moments d'aire, méthode de poutre conjuguée, travail virtuel et méthodes d'énergie. Analyse de poutres, cadres et treillis hyperstatiques ; méthodes des forces, de flexibilité, des rotations, de distribution de moments. Lignes d'influence pour poutres, cadres et treillis. Analyse de câbles et arcs isostatiques. Introduction aux surcharges sur les structures.","Volet :Cours magistral, Tutoriel","Préalables :CVG 2540,CVG 2549."
CVG,3547,Conception des structures en acier I ,"Calculs et conception de structures isostatiques en acier. Calculs aux états limites. Propriétés de l'acier. Charges selon les normes de bâtiments. Aires tributaires. Facteurs de réduction des surcharges d'exploitation. Pièces en traction: section effective, décalage. Pièces en compression : résistance et comportement en stabilité. Poutres: moment plastique, voilement des sections à parois minces, déversement, résistance à l'effort tranchant, contrôle de déformations, résistance aux charges concentrées. Résistance des boulons en cisaillement, en traction et en cisaillement et traction combinés, effet de levier.","Volet :Cours magistral, Tutoriel","Préalables :CVG 2541,CVG 3140.MAT 2777est concomitant àCVG 3547"
CVG,3548,Conception des structures en béton armé I ,"Comportement et conception des éléments en béton armé soumis à la flexion, au cisaillement et à l'effort axial. Analyse de sections en béton armé. Conception de poutres, dalles unidirectionnelles, poteaux, murs porteurs et murs de soutènement en utilisant la théorie de la résistance ultime et les principes de conception aux états limites. Introduction au béton précontraint. Conception de poutres simples en béton précontraint.","Volet :Laboratoire, Cours magistral","Préalables :CVG 2541,CVG 3540."
CVG,4001,Introduction à la conception en génie civil / Introduction to Civil Engineering Project ,"Introduction à la méthode de conception.  Identification des critères et contraintes d'un projet.  Génération des options de conception et sélection du meilleur concept.  Compétences en gestion de projet telles que production d'un échéancier et allocation des ressources. / Introduction to the design method.  Identification of project criteria and constraints.  Generation of design options and selection of preferred design.  Project management skills, such as cost prediction, timeline evaluation and resource allocation.","Volet / Course Component:Cours magistral / Lecture, Tutoriel / Tutorial","Préalables :CVG 3106,CVG 3116,CVG 3132,CVG 3147,CVG 3148."
CVG,4107,Rock Mechanics ,"Rock exploration, laboratory and in-situ testing; rock mass classification;  deformation and strength; failure criteria; stresses in rock; foundations on rock.",Lecture,"Prerequisites:CVG 3109,CVG 3106."
CVG,4108,Geotechnical Design ,"Applications of soil mechanics theory to bearing capacity, settlement, and stability evaluation; design of foundations, retaining structures, embankments, and excavations; geotechnical exploration, reporting and spatial variability considerations; introduction to ground improvement.",Lecture,"Prerequisites:CVG 3109,CVG 3106."
CVG,4110,Hydraulics of Open Channels ,"Equations of open channel flow. Rapidly varied flow. Gradually varied flow in regular and natural channels. Unsteady flow. Application to flood waves and tides in natural channels. Turbulence and related diffusion phenomena. Sediment transport, bed and suspended load. Scour.",Lecture,"Prerequisites:CVG 3116,CVG 3120."
CVG,4113,Hydraulics of Water Supply and Sewer Systems ,"Population forecasting techniques. Design of network distribution systems for flow and pressure requirements, hydraulics of sewer junctions and transitions, measuring devices in urban water and sewer networks, pumps, and pumping stations, valves, hydrants. Environmental considerations. Fieldwork.",Lecture,Prerequisite:CVG 3116.
CVG,4122,Groundwater and Seepage ,"Types and physical properties of aquifers. Darcy's Law; hydraulic conductivity of isotropic, anisotropic, and multilayered soils; uniform flow, unidirectional and radial flow -- steady and unsteady flow nets; methods of images, partially penetrating wells; leaky aquifers; application of mapping techniques to seepage problems.",Lecture,"Prerequisites:CVG 2116,CVG 3109."
CVG,4130,Advanced Environmental Engineering ,"Water quality objectives; cell microbiology; bacterial energetics; biological treatment kinetics; design of conventional wastewater treatment systems (lagoons, activated sludge); design of advanced wastewater treatment systems (membrane bioreactors, and moving bed bioreactors).","Lecture, Tutorial",Prerequisite:CVG 2132.
CVG,4133,Solid Waste Management ,Quantities and characteristics of municipal solid waste. Collection and transportation systems. Resource recovery. Solid waste separation processes. Energy recovery from municipal solid waste. Disposal methods. Environmental impacts of landfilling of solid waste. Environmental legislation and risk assessment.,Lecture,Prerequisite:CVG 2132.
CVG,4135,Water Treatment in Northern Communities ,"Specific context of water and wastewater treatment in northern communities: type of water and wastewater treatment units, type of distribution systems, major challenges related to water and wastewater services and water strategies implemented.",Lecture,"Prerequisites:CVG 3116,CVG 3120."
CVG,4142,Structural Dynamics ,Dynamic problems in civil engineering; single-degree-of-freedom system; free and forced vibrations; transient phenomena and Duhamel's integral; distributed mass system; seismic response of structures; multi-storey buildings; random vibration and wind-induced response of structures.,Lecture,Prerequisites:CVG 3140.
CVG,4143,Structural Steel Design II ,"Design of fully and partially composite beams. Beam-Columns design including local buckling, strength and stability interaction equations, biaxial bending, and bending and tension members. Plate girders design including ultimate shear strength, tension-field action, design of bearing and intermediate stiffeners, local buckling considerations, and flexural resistance.  Second-order analysis techniques.",Lecture,"Prerequisites:CVG 3147,CVG 3148."
CVG,4145,Reinforced Concrete Design II ,"Extension of courseCVG 3148. Behaviour and design of reinforced concrete members, subjected to biaxial bending, torsion, lateral loads and two-way action. Two-way slab systems. Strip method, direct design approach and equivalent frame analysis of two-way slabs. Yieldline theory of slabs. Inelastic response of reinforced concrete structures and moment re-distribution. Earthquake resistant design.","Lecture, Tutorial",Prerequisites:CVG 3148.
CVG,4146,Structural Design in Timber ,"Timber engineering; species groups, stresses, load factors. Mechanical fasteners and adhesives. Preservative treatments; fire safety, design and analysis of timber structures.","Lecture, Tutorial",Prerequisite:CVG 3140.
CVG,4147,Sustainable Building Design ,Basic principles of heat transfer in buildings; energy-efficient envelope design; bioclimatic design; energy use in buildings; building energy codes and standards; indoor environmental quality.,Lecture,"Prerequisites:CVG 3147,CVG 3148."
CVG,4148,Theory of Structures II ,"Topics in structural analysis related to statistically indeterminate structures. Introduction to stiffness and flexibility coefficients; matrix formulation and computer programming to solve indeterminate structures such as trusses, continuous beams and tall building frames.","Laboratory, Lecture","Prerequisites:CVG 2181,CVG 3140."
CVG,4150,Highway and Transportation Engineering ,"Importance of highways and transportation; urban transportation planning; driver, vehicle, and general traffic characteristics; traffic engineering and studies; highway capacity and level of service; highway location and geometric design; earthwork operations; highway drainage and subgrade structure; structural analysis and design of rigid and flexible pavements; economic analysis and evaluation of transportation systems.","Lecture, Tutorial","Prerequisites:CVG 2171,CVG 2107,CVG 2141."
CVG,4161,Mechanics of Unsaturated Soils ,"Stress state variables for unsaturated soils interpretation; measurement of suction, permeability, shear strength, volume change behavior of unsaturated soils; application of the mechanics of unsaturated soils for geotechnical engineering problems.",Lecture,"Prerequisites:CVG 3109,CVG 3106."
CVG,4172,Advanced Concrete Technology ,"Cement: types, hydration, physical properties; aggregate: classification, grading, properties; fresh  concrete: influence of basis constituents and admixtures on workability, mixing, placing; strength of hardened concrete; nature of strength, influence of constituents, curing methods; durability; chemical attack, frost action, thermal effects; elasticity, shrinkage and creep; special concrete;lightweight, high density; mix design; approaches, weigh batching, volume proportioning, special mixes; field and laboratory test methods.",Lecture,Prerequisite:CVG 2141.
CVG,4173,Construction Management ,"Planning and operation of construction project by the civil engineer, co-ordination and control of personnel, materials and machines, scheduling, estimation, purchasing cost control and other topics. Influence of construction procedures on civil engineering design processes. Common and civil law as applied to engineering contracts and specifications.",Lecture,"Prerequisites:CVG 3106,CVG 3147,CVG 3148."
CVG,4175,Field Investigations and Environmental Impact Assessment of Civil Engineering Projects ,"Field investigations in geotechnical, water resources and environmental engineering. Experimental design, data acquisition, data analysis and site visits. Principles of environmental impact assessment of civil engineering projects.","Laboratory, Lecture","Prerequisites:CVG 2132,CVG 3116,CVG 3106."
CVG,4180,Special Directed Studies ,Selected topics of special interest in civil engineering.,Research,Prerequisite: Permission of the Department.
CVG,4181,Special Topics in Structural Engineering ,Specialized course on a selected topic in structural engineering,Lecture,"Prerequisites:CVG 3147,CVG 3148."
CVG,4184,Special Topics in Geotechnical Engineering ,Specialized course on a selected topic in geotechnical engineering.,Lecture,Prerequisite:CVG 3106.
CVG,4186,Special Topics in Water Resources Engineering ,Specialized course on a selected topic in water resources engineering.,Lecture,"Prerequisites:CVG 3116,CVG 3120."
CVG,4188,Special Topics in Environmental Engineering ,Specialized course on a selected topic in environmental engineering.,Lecture,"Prerequisites:CVG 3116,CVG 3120."
CVG,4260,Thesis (6 units),Thesis on an approved research or design topic in Civil Engineering which will emphasize independent work. The thesis will be done under the direction of a faculty adviser and the student must obtain an adviser's approval before commencing the course.,Research,"Prerequisites: B average, permission of supervisor."
CVG,2601,Thesis (Part 1 of 2),Thesis on an approved research or design topic in Civil Engineering which will emphasize independent work. The thesis will be done under the direction of a faculty adviser and the student must obtain an adviser's approval before commencing the course. (Part 1 of 2),Research,"Prerequisites: B average, permission of supervisor."
CVG,2602,Thesis (Part 2 of 2) (6 units),Thesis on an approved research or design topic in Civil Engineering which will emphasize independent work. The thesis will be done under the direction of a faculty adviser and the student must obtain an adviser's approval before commencing the course. (Part 2 of 2),Research,Prerequisite:CVG 42601
CVG,4907,Projet de conception en génie civil / Civil Engineering Design Project ,"Projet en génie civil sous la direction de conseillers membres du corps professoral pendant la dernière année du programme.  Le projet doit être basé sur la connaissance et les qualifications conformes aux normes de conception, de législation, de sciences économiques, de santé et de sécurité, d'environnement et autres facteurs pertinents. Un accent particulier est mis sur l'expérience de travail en équipe et sur l'apprentissage dans un contexte créatif, itératif et ouvert. / A civil engineering design project under the direction of faculty advisors for the final year of the program.  The project is to be based on the knowledge and skills of design standards, legislation, economics, health and safety, environmental and other pertinent factors.  A particular emphasis is placed on experience of teamwork and a creative, iterative and open-ended process.",Volet / Course Component:Cours magistral / Lecture,Prerequisite:CVG 4001.
