Faculty,Code,Title,Description,Components,Prerequisites,TextForBERT
CHG,3331,Application of Mathematical Methods to Chemical Engineering ,"The study of numerical methods common to engineering analysis and design, including methods for solving nonlinear equations and systems of equations, function interpolation and approximation, numerical integration and the solution of differential equations. Students will learn the theory behind the methods and, equally important, when and how to apply them to engineering problems.","Lecture, Tutorial","Prerequisites:CHG 2312,CHG 2314,CHG 2317, (GNG 1106orITI 1120),MAT 2322,MAT 2384.","application of mathematical methods to chemical engineering. the study of numerical methods common to engineering analysis and design, including methods for solving nonlinear equations and systems of equations, function interpolation and approximation, numerical integration and the solution of differential equations. students will learn the theory behind the methods and, equally important, when and how to apply them to engineering problems. lecture, tutorial prerequisites:chg 2312,chg 2314,chg 2317, (gng 1106oriti 1120),mat 2322,mat 2384."
CHG,3335,Process Control ,Fundamental concepts involved in establishing the transient behaviour and control characteristics of processes. Process dynamics. Dynamics of measuring and control elements. Controller characteristics. Dynamics of control loops. Stability criteria. Multiple loop systems. Advanced control system design. Introduction to sampled-data systems.,"Lecture, Tutorial","Prerequisites:CHG 2314,CHG 2317.","process control. fundamental concepts involved in establishing the transient behaviour and control characteristics of processes. process dynamics. dynamics of measuring and control elements. controller characteristics. dynamics of control loops. stability criteria. multiple loop systems. advanced control system design. introduction to sampled-data systems. lecture, tutorial prerequisites:chg 2314,chg 2317."
CHG,3337,Data Collection and Interpretation ,"Combinatorial analysis; probability and random variables; discrete and continuous densities and distribution functions; expectation and variance; normal (Gaussian), distributions; statistical estimation and hypothesis testing; method of least squares, correlation and regression. Basic principles and techniques for the efficient design of experiments and effective analysis of data. Topics include: the nature and analysis of process variability, comparing processes, blocking and randomization, empirical model building for quantifying relationships between process inputs and outputs, two-level factorial and fractional factorial designs for screening out inert input variables, other designs, a practical approach to experimental design.","Lecture, Tutorial","Prerequisites:CHG 1125,CHG 1371,MAT 2384.","data collection and interpretation. combinatorial analysis; probability and random variables; discrete and continuous densities and distribution functions; expectation and variance; normal (gaussian), distributions; statistical estimation and hypothesis testing; method of least squares, correlation and regression. basic principles and techniques for the efficient design of experiments and effective analysis of data. topics include: the nature and analysis of process variability, comparing processes, blocking and randomization, empirical model building for quantifying relationships between process inputs and outputs, two-level factorial and fractional factorial designs for screening out inert input variables, other designs, a practical approach to experimental design. lecture, tutorial prerequisites:chg 1125,chg 1371,mat 2384."
CHG,4116,Chemical Engineering Laboratory ,"Laboratory course to demonstrate chemical engineering principles, to further develop engineering judgment, to gain hands-on experience with equipment, and to enhance oral and written communication skills. Students participate in all phases of the investigation -- planning, execution, analysis, reporting. Use of the computer for simulation and data analysis.","Laboratory, Lecture","Prerequisites:CHG 3122,CHG 3111,CHG 3127,CHG 3326,CHG 3335.CHG 3337is prerequisite or corequisite toCHG 4116.","chemical engineering laboratory. laboratory course to demonstrate chemical engineering principles, to further develop engineering judgment, to gain hands-on experience with equipment, and to enhance oral and written communication skills. students participate in all phases of the investigation -- planning, execution, analysis, reporting. use of the computer for simulation and data analysis. laboratory, lecture prerequisites:chg 3122,chg 3111,chg 3127,chg 3326,chg 3335.chg 3337is prerequisite or corequisite tochg 4116."
CHG,4244,Plant Design Project (6 units),A study of the engineering aspects involved in the development of an industrial plant. Capital and manufacturing cost estimates. Safety in design. Feasibility survey. Equipment design and specification. Plant layout and location. Students will work in small groups to produce a process design and economic evaluation of a complete industrial plant.,"Laboratory, Lecture","Prerequisites: 81 university units includingCHG 3111,CHG 3112,CHG 3122,CHG 3127,CHG 3316,CHG 3324,CHG 3326,CHG 3331,CHG 3335,CHG 3337.","plant design project (6 units). a study of the engineering aspects involved in the development of an industrial plant. capital and manufacturing cost estimates. safety in design. feasibility survey. equipment design and specification. plant layout and location. students will work in small groups to produce a process design and economic evaluation of a complete industrial plant. laboratory, lecture prerequisites: 81 university units includingchg 3111,chg 3112,chg 3122,chg 3127,chg 3316,chg 3324,chg 3326,chg 3331,chg 3335,chg 3337."
CHG,4250,Plant Design Project (9 units),A study of the engineering aspects involved in the development of an industrial plant. Capital and manufacturing cost estimates. Safety in design. Feasibility survey. Equipment design and specification. Plant layout and location. Students will work in small groups to produce a process design and economic evaluation of a complete industrial plant.,"Laboratory, Lecture","Prerequisites:CHG 3111,CHG 3112,CHG 3122,CHG 3127,CHG 3326,CHG 3335,CHG 3337and 54 university course units.","plant design project (9 units). a study of the engineering aspects involved in the development of an industrial plant. capital and manufacturing cost estimates. safety in design. feasibility survey. equipment design and specification. plant layout and location. students will work in small groups to produce a process design and economic evaluation of a complete industrial plant. laboratory, lecture prerequisites:chg 3111,chg 3112,chg 3122,chg 3127,chg 3326,chg 3335,chg 3337and 54 university course units."
CHG,4301,Air Pollution Control Processes ,"This course will review sources and types of air pollution and discuss design of equipment for use in air pollution control, e.g. grit and dust removal, sampling, equipment performance, mist removal in chemical processes, gas absorption processes, solid chemical absorbents and regeneration processes. Stack heights, dispersions and meteorological factors.",Lecture,"Prerequisites: 54 university units includingCHG 2312,CHG 2314,CHG 2317.","air pollution control processes. this course will review sources and types of air pollution and discuss design of equipment for use in air pollution control, e.g. grit and dust removal, sampling, equipment performance, mist removal in chemical processes, gas absorption processes, solid chemical absorbents and regeneration processes. stack heights, dispersions and meteorological factors. lecture prerequisites: 54 university units includingchg 2312,chg 2314,chg 2317."
CHG,4302,Environmental Biotechnology ,"Significance of microorganisms in the environment. Soil and aquatic environments, extreme environments. Kinetics of microbial growth and degradation of raw materials. Continuous and batch reactors. Mass and heat transfer. Aerobic and anaerobic processes. Microbial conversion of carbon, nitrogen and other elements. Microbial corrosion. Mineral leaching with microorganisms. Composting. Microbial contributions to pollution. Use of genetic techniques to engineer organisms with novel catalytic capabilities.",Lecture,"Prerequisites: 54 university units includingCHG 2312,CHG 2314,CHG 2317.","environmental biotechnology. significance of microorganisms in the environment. soil and aquatic environments, extreme environments. kinetics of microbial growth and degradation of raw materials. continuous and batch reactors. mass and heat transfer. aerobic and anaerobic processes. microbial conversion of carbon, nitrogen and other elements. microbial corrosion. mineral leaching with microorganisms. composting. microbial contributions to pollution. use of genetic techniques to engineer organisms with novel catalytic capabilities. lecture prerequisites: 54 university units includingchg 2312,chg 2314,chg 2317."
CHG,4305,Advanced Materials in Chemical Engineering ,"An introduction to the fundamentals of materials science with special emphasis on materials and applications of interest to chemical engineers.  Biocompatibility and biomedical applications.  Corrosion. Conductivity.  Structure/property relationships in polymers, metals, ceramics, semiconducting materials, nanoporous materials and composites.","Lecture, Tutorial",Prerequisite: 81 university units.,"advanced materials in chemical engineering. an introduction to the fundamentals of materials science with special emphasis on materials and applications of interest to chemical engineers. biocompatibility and biomedical applications. corrosion. conductivity. structure/property relationships in polymers, metals, ceramics, semiconducting materials, nanoporous materials and composites. lecture, tutorial prerequisite: 81 university units."
CHG,4307,Process Risk Management and Sustainability ,"Nature of risk in chemical engineering and its societal context, the legal and regulatory framework for control of risk, technical aspects of the control of acute and chronic risk, and the sociological aspects of risk management, including how management systems can deteriorate over time and practical ways to  defend against this. Discussion groups cover issues in chemical engineering practice, and how to address them. Practical guidance is also provided on how to deal with general issues students are likely to encounter in their future careers.","Discussion Group, Lecture",Prerequisite: 81 university course units.,"process risk management and sustainability. nature of risk in chemical engineering and its societal context, the legal and regulatory framework for control of risk, technical aspects of the control of acute and chronic risk, and the sociological aspects of risk management, including how management systems can deteriorate over time and practical ways to defend against this. discussion groups cover issues in chemical engineering practice, and how to address them. practical guidance is also provided on how to deal with general issues students are likely to encounter in their future careers. discussion group, lecture prerequisite: 81 university course units."
CHG,4331,Introduction to Polymer Reaction Engineering ,Principles governing polymerization reactions.  Mechanisms and kinetics of step-growth and chain-growth polymerization and copolymerization. Physical properties of polymers and polymer characterization.  Molecular weight distribution.  Polymerization reaction engineering: mathematical modelling and polymer reactor design in industrial settings.,Lecture,Prerequisite: 81 university units.,introduction to polymer reaction engineering. principles governing polymerization reactions. mechanisms and kinetics of step-growth and chain-growth polymerization and copolymerization. physical properties of polymers and polymer characterization. molecular weight distribution. polymerization reaction engineering: mathematical modelling and polymer reactor design in industrial settings. lecture prerequisite: 81 university units.
CHG,4343,Computer-Aided Design in Chemical Engineering ,"The application of computer programming to chemical engineering process simulation and analysis. Through worked examples and assignments, students develop their skills in process modeling and simulation using a high level programming language. As part of the course, students are expected to design, develop and test their own computer-based process simulators of one or more unit operation common to the field of chemical engineering.","Lecture, Tutorial","Prerequisites:CHG 3111,CHG 3127,CHG 3335, and 72 university course units.","computer-aided design in chemical engineering. the application of computer programming to chemical engineering process simulation and analysis. through worked examples and assignments, students develop their skills in process modeling and simulation using a high level programming language. as part of the course, students are expected to design, develop and test their own computer-based process simulators of one or more unit operation common to the field of chemical engineering. lecture, tutorial prerequisites:chg 3111,chg 3127,chg 3335, and 72 university course units."
CHG,4364,Oil and Gas Processing ,"Overview of the technologies, processes and equipment used in the characterization and processing of natural gas, crude oils and Canadian bitumen.",Lecture,"Prerequisites: 54 university units including CHG2312, CHG2314, CHG2317.","oil and gas processing. overview of the technologies, processes and equipment used in the characterization and processing of natural gas, crude oils and canadian bitumen. lecture prerequisites: 54 university units including chg2312, chg2314, chg2317."
CHG,4380,Particulate and Multiphase Systems ,"Principal elements in the design of various commercially important particulate processes including particle characterization and particles transport through pneumatic conveying. Design and operation of units including packed beds, fluidized beds, filters, cyclones, and thickener/clarifiers will be reviewed.",Lecture,CHG 3111is prerequisite or corequisite toCHG 4380.,"particulate and multiphase systems. principal elements in the design of various commercially important particulate processes including particle characterization and particles transport through pneumatic conveying. design and operation of units including packed beds, fluidized beds, filters, cyclones, and thickener/clarifiers will be reviewed. lecture chg 3111is prerequisite or corequisite tochg 4380."
CHG,4381,Biochemical Engineering ,"Elements of applied microbiology: taxonomy, morphology of micro-organisms, cell composition and metabolism, growth kinetics and product formation.  Application of chemical engineering principles to the analysis of industrial fermentation processes.  Bioreactor design and downstream processing.  Industrial applications of bioprocesses: food processing, pharmaceuticals, conversion of waste materials to useful products.","Lecture, Tutorial","Prerequisites: 81 university course units includingCHG 3111,CHG 3127.","biochemical engineering. elements of applied microbiology: taxonomy, morphology of micro-organisms, cell composition and metabolism, growth kinetics and product formation. application of chemical engineering principles to the analysis of industrial fermentation processes. bioreactor design and downstream processing. industrial applications of bioprocesses: food processing, pharmaceuticals, conversion of waste materials to useful products. lecture, tutorial prerequisites: 81 university course units includingchg 3111,chg 3127."
CHG,4385,Adsorption Separations for Environmental Applications ,Basic principles and fundamentals of adsorption. Discussion of different important design parameters for adsorbers. Gas and vapour adsorption separation applications for environmental air pollution control. Liquid adsorption separation applications for water pollution control. Different types of designs for adsorbers are discussed.,Lecture,"Prerequisites: 54 university units includingCHG 2312,CHG 2314,CHG 2317.","adsorption separations for environmental applications. basic principles and fundamentals of adsorption. discussion of different important design parameters for adsorbers. gas and vapour adsorption separation applications for environmental air pollution control. liquid adsorption separation applications for water pollution control. different types of designs for adsorbers are discussed. lecture prerequisites: 54 university units includingchg 2312,chg 2314,chg 2317."
CHG,8113,Organic Electronics ,"Ever wondered how cellphone displays work? Does the thought of tattoos that detect your sugar levels or roll-up solar panels interest you? Then you might want to learn about organic electronics. In this course students will learn the design, the fabrication and the operation of emerging printed electronics, flexible electronics and organic electronic technologies such as organic photovoltaic (OPV) devices, organic light emitting diodes (OLEDs), organic thin film transistors (OTFTs) and printed sensors. The course will cover elements of applied organic/polymer chemistry, materials engineering, physical chemistry and applied electronics. Students will touch on topics including molecular-property relationships, thin film processing, charge transport through carbon-based materials, photoexcitation of organic molecules, polymer processing, and how it all applies to emerging thin film technologies.",Lecture,,"organic electronics. ever wondered how cellphone displays work? does the thought of tattoos that detect your sugar levels or roll-up solar panels interest you? then you might want to learn about organic electronics. in this course students will learn the design, the fabrication and the operation of emerging printed electronics, flexible electronics and organic electronic technologies such as organic photovoltaic (opv) devices, organic light emitting diodes (oleds), organic thin film transistors (otfts) and printed sensors. the course will cover elements of applied organic/polymer chemistry, materials engineering, physical chemistry and applied electronics. students will touch on topics including molecular-property relationships, thin film processing, charge transport through carbon-based materials, photoexcitation of organic molecules, polymer processing, and how it all applies to emerging thin film technologies. lecture"
CHG,8115,Heat Transfer I ,The general law of heat conduction. Steady and unsteady heat conduction in solids with or without internal heat sources. Radiant heat transmission.,Lecture,,heat transfer i. the general law of heat conduction. steady and unsteady heat conduction in solids with or without internal heat sources. radiant heat transmission. lecture
CHG,8116,Advanced Transport Phenomena ,"Advanced study of momentum, heat and mass transfer relevant to chemical engineering and also to areas such as environmental engineering, medicine and other scientific disciplines. Review of the analogy between mass, momentum and thermal transport and, in particular, of the physical principles and mathematical foundations required for the analysis of fluid flow, heat transfer and mass transfer, and of the advanced methods for the analysis of transport problems. Main emphasis on formulation of a given physical problem in terms of appropriate conservation equations, and obtaining an understanding of the associated physical phenomena. Use of many chemical engineering applications to illustrate the various principles.",Lecture,,"advanced transport phenomena. advanced study of momentum, heat and mass transfer relevant to chemical engineering and also to areas such as environmental engineering, medicine and other scientific disciplines. review of the analogy between mass, momentum and thermal transport and, in particular, of the physical principles and mathematical foundations required for the analysis of fluid flow, heat transfer and mass transfer, and of the advanced methods for the analysis of transport problems. main emphasis on formulation of a given physical problem in terms of appropriate conservation equations, and obtaining an understanding of the associated physical phenomena. use of many chemical engineering applications to illustrate the various principles. lecture"
CHG,8121,Synthetic Membranes in Biomedical Engineering ,"Medical applications of synthetic membranes hemodialysis, oxygenation, hemofiltration, apheresis and plasma exchange, biofunctional membranes, biosensors, drug delivery systems and microencapsulation. Emphasis on the types and classes of membranes available, relationship between structure and properties of membranes, and other variables, techniques for fabricating membranes, and special issues involved in the design and manufacture of synthetic membranes for medical use.",Lecture,,"synthetic membranes in biomedical engineering. medical applications of synthetic membranes hemodialysis, oxygenation, hemofiltration, apheresis and plasma exchange, biofunctional membranes, biosensors, drug delivery systems and microencapsulation. emphasis on the types and classes of membranes available, relationship between structure and properties of membranes, and other variables, techniques for fabricating membranes, and special issues involved in the design and manufacture of synthetic membranes for medical use. lecture"
CHG,8123,Advanced Chemical Engineering Thermodynamics ,Presentation of the fundamentals and the contemporary research developments in chemical engineering thermodynamics. Thermodynamic properties and formulations. Properties of fluids. Stability of thermodynamic systems. Criteria of equilibrium. Evaluation of thermodynamic properties. Mathematical methods and data handling.,Lecture,,advanced chemical engineering thermodynamics. presentation of the fundamentals and the contemporary research developments in chemical engineering thermodynamics. thermodynamic properties and formulations. properties of fluids. stability of thermodynamic systems. criteria of equilibrium. evaluation of thermodynamic properties. mathematical methods and data handling. lecture
CHG,8132,Adsorption Separation Processes ,Discussion of different microporous materials and molecular sieves as adsorbents. Adsorption equilibrium and adsorption kinetics. Equilibrium adsorption of single fluids and mixtures. Diffusion in porous media and rate processes in adsorbers. Adsorber dynamics: bed profiles and breakthrough curves. Cyclic fluid separation processes. Pressure swing adsorption. Examples of commercial separation applications. This course is equivalent to ENVJ 5105 at Carleton University.,Lecture,,adsorption separation processes. discussion of different microporous materials and molecular sieves as adsorbents. adsorption equilibrium and adsorption kinetics. equilibrium adsorption of single fluids and mixtures. diffusion in porous media and rate processes in adsorbers. adsorber dynamics: bed profiles and breakthrough curves. cyclic fluid separation processes. pressure swing adsorption. examples of commercial separation applications. this course is equivalent to envj 5105 at carleton university. lecture
CHG,8157,Strategies for Engineering Process Analysis ,"Statistical experimental design and analysis techniques for industrial and laboratory investigations are presented. Topics include: the nature and analysis of process variation, comparisons of two or more processes, empirical modelling of processes, applications of factorial and fractional factorial designs, mixture designs, response surface methodologies and empirical optimization techniques.",Lecture,,"strategies for engineering process analysis. statistical experimental design and analysis techniques for industrial and laboratory investigations are presented. topics include: the nature and analysis of process variation, comparisons of two or more processes, empirical modelling of processes, applications of factorial and fractional factorial designs, mixture designs, response surface methodologies and empirical optimization techniques. lecture"
CHG,8161,Advanced Chemical Reaction Engineering ,Kinetics of chemical reactions and its application to chemical engineering problems. Rate expressions and heterogeneous kinetics. Preparation and evaluation of catalyst activity. Promoters and poisons. Physical properties and transfer of mass and energy in porous catalysts. Interpretation of kinetic data and determination of mechanisms of catalyzed reactions.,Lecture,,advanced chemical reaction engineering. kinetics of chemical reactions and its application to chemical engineering problems. rate expressions and heterogeneous kinetics. preparation and evaluation of catalyst activity. promoters and poisons. physical properties and transfer of mass and energy in porous catalysts. interpretation of kinetic data and determination of mechanisms of catalyzed reactions. lecture
CHG,8181,Advanced Biochemical Engineering ,"Kinetics of bioreactions, growth and product formation. Batch and continuous bioprocesses. Mass and heat transfer in bioreactors. Novel bioreactor design. Industrial microbiology. Animal and plant cell culture. Downstream processing. Biosensors, biological waste-water treatment, biocorrosion, bioleaching. Nitrogen fixation. Genetic engineering. This course is equivalent to ENVJ 5501 at Carleton University.",Lecture,,"advanced biochemical engineering. kinetics of bioreactions, growth and product formation. batch and continuous bioprocesses. mass and heat transfer in bioreactors. novel bioreactor design. industrial microbiology. animal and plant cell culture. downstream processing. biosensors, biological waste-water treatment, biocorrosion, bioleaching. nitrogen fixation. genetic engineering. this course is equivalent to envj 5501 at carleton university. lecture"
CHG,8187,Introduction to Polymer Reaction Engineering ,Introduction to principles governing polymerization reactions and the resultant physical properties of polymers. Theory and experimental methods for the characterization of polymers. Mechanism and kinetics of polymerization reactions with emphasis on chain-growth polymerizations. Mathematical modelling and polymer reactor design.,Lecture,,introduction to polymer reaction engineering. introduction to principles governing polymerization reactions and the resultant physical properties of polymers. theory and experimental methods for the characterization of polymers. mechanism and kinetics of polymerization reactions with emphasis on chain-growth polymerizations. mathematical modelling and polymer reactor design. lecture
CHG,8188,Polymer Properties and Characterization ,"Polymer properties are described and discussed in the context of their nature, source and means of measurement. Chemical and microstructural properties; physical states and transitions; thermal properties; mechanical properties and viscoelasticity models; degradation and stability; surface, electrical and optical properties, polymer additives; structure-property relationships.",Lecture,,"polymer properties and characterization. polymer properties are described and discussed in the context of their nature, source and means of measurement. chemical and microstructural properties; physical states and transitions; thermal properties; mechanical properties and viscoelasticity models; degradation and stability; surface, electrical and optical properties, polymer additives; structure-property relationships. lecture"
CHG,8192,Membranes in Clean Processes ,"Course emphasizing the use and development of membrane separations as clean and cleaning technologies. Applications of reverse osmosis, ultrafiltration, vapour permeation and pervaporation to the treatment of industrial process and waste streams. Discussion of the fundamentals underlying each separation process. Nanostructured membrane materials. Membrane fouling models, foulant-membrane material interactions, solvent resistant membranes, aqueous and non-aqueous separations.",Lecture,,"membranes in clean processes. course emphasizing the use and development of membrane separations as clean and cleaning technologies. applications of reverse osmosis, ultrafiltration, vapour permeation and pervaporation to the treatment of industrial process and waste streams. discussion of the fundamentals underlying each separation process. nanostructured membrane materials. membrane fouling models, foulant-membrane material interactions, solvent resistant membranes, aqueous and non-aqueous separations. lecture"
CHG,8194,Membrane Liquid Separation Processes and Materials ,"Advanced topics of membrane separations including reverse osmosis, ultrafiltration, non-aqueous liquid separation, and membrane applications in biotechnology. Physical chemical criteria for separations, membrane materials, and membrane casting techniques. Basic transport equations for single and mixed solute systems. Prediction of membrane performance. Process design, specification, and analysis applications. Problem solving in membrane transport, membrane design, and membrane process design.",Lecture,,"membrane liquid separation processes and materials. advanced topics of membrane separations including reverse osmosis, ultrafiltration, non-aqueous liquid separation, and membrane applications in biotechnology. physical chemical criteria for separations, membrane materials, and membrane casting techniques. basic transport equations for single and mixed solute systems. prediction of membrane performance. process design, specification, and analysis applications. problem solving in membrane transport, membrane design, and membrane process design. lecture"
CHG,8195,Advanced Numerical Methods in Chemical and Biological Engineering ,"Survey course of numerical methods for solving linear and non-linear ordinary and partial differential equations. Techniques reviewed include Runge-Kutta and predictor-corrector methods, shooting techniques, control volume discretization methods and finite elements. Example problems from the field of transport phenomena. This course is equivalent to ENVJ 5505 at Carleton University.",Lecture,,"advanced numerical methods in chemical and biological engineering. survey course of numerical methods for solving linear and non-linear ordinary and partial differential equations. techniques reviewed include runge-kutta and predictor-corrector methods, shooting techniques, control volume discretization methods and finite elements. example problems from the field of transport phenomena. this course is equivalent to envj 5505 at carleton university. lecture"
CHG,8196,Interfacial Phenomena in Engineering ,"Interfacial tension and interfacial free energy; contact angles; spreading of liquids; wetting of surfaces; experimental techniques. Interfacial tension of mixtures; Gibbs equation; absorbed and insoluble monolayers; properties of monolayers and films. Electrical phenomena at interfaces; the electrical double layer; zeta-potential; electrokinetic phenomena (electrophoresis, electro-osmosis, streaming potential); surface conductance. Dispersed systems; formation and practical uses of emulsions; spontaneous emulsification; flocculation. This course is equivalent to ENVJ 5507 at Carleton University.",Lecture,,"interfacial phenomena in engineering. interfacial tension and interfacial free energy; contact angles; spreading of liquids; wetting of surfaces; experimental techniques. interfacial tension of mixtures; gibbs equation; absorbed and insoluble monolayers; properties of monolayers and films. electrical phenomena at interfaces; the electrical double layer; zeta-potential; electrokinetic phenomena (electrophoresis, electro-osmosis, streaming potential); surface conductance. dispersed systems; formation and practical uses of emulsions; spontaneous emulsification; flocculation. this course is equivalent to envj 5507 at carleton university. lecture"
CHG,8198,Membrane Gas Separation Processes ,"Familiarization with principles of membrane technology and engineering aspects of membrane separation processes, with emphasis on gas separation. Overview of membrane types and materials, mechanisms of gas transport in membranes, and applications. Zero stage-cut analysis and membrane characterization methods and multistage membrane module design.",Lecture,,"membrane gas separation processes. familiarization with principles of membrane technology and engineering aspects of membrane separation processes, with emphasis on gas separation. overview of membrane types and materials, mechanisms of gas transport in membranes, and applications. zero stage-cut analysis and membrane characterization methods and multistage membrane module design. lecture"
CHG,8300,Electrochemical Engineering ,"Basic principles and laws of applied electrochemistry. Electrochemical thermodynamics. Electrode kinetics and electrochemical double layer. Electrocatalysis for fuel cells and water electrolysis. Transport phenomena in electrochemical engineering. Electrochemical reaction engineering. Examples of industrial processes: Chloralkali-electrolysis, water electrolysis, electrowinning of Nickel, Zinc, Aluminum, organic electro-synthesis. Energy conversion and storage technology: fuel cells, electrochemical capacitors and batteries.",Lecture,,"electrochemical engineering. basic principles and laws of applied electrochemistry. electrochemical thermodynamics. electrode kinetics and electrochemical double layer. electrocatalysis for fuel cells and water electrolysis. transport phenomena in electrochemical engineering. electrochemical reaction engineering. examples of industrial processes: chloralkali-electrolysis, water electrolysis, electrowinning of nickel, zinc, aluminum, organic electro-synthesis. energy conversion and storage technology: fuel cells, electrochemical capacitors and batteries. lecture"
CHG,8301,Renewable Fuels ,The production and sustainability of renewable fuels: Study the various generations and types of renewable fuels. Detailed look at the processes involved in transforming renewable feedstocks into useful fuels. Evaluation of the chemical and physical exergy of substances and process streams. Exergetic efficiency of process flowsheets. Perform well to wheel energetic and exergetic life cycle analyses of fossil and biofuels. Evaluate the environmental performance of renewable fuels.,Lecture,,renewable fuels. the production and sustainability of renewable fuels: study the various generations and types of renewable fuels. detailed look at the processes involved in transforming renewable feedstocks into useful fuels. evaluation of the chemical and physical exergy of substances and process streams. exergetic efficiency of process flowsheets. perform well to wheel energetic and exergetic life cycle analyses of fossil and biofuels. evaluate the environmental performance of renewable fuels. lecture
CHG,8302,Oil and Gas Processing ,"Physical and chemical properties of hydrocarbons and their estimation methods. Typical technologies, processes, and unit operations used in the characterization and processing of natural gas, crude oils, and Canadian bitumen.",Lecture,,"oil and gas processing. physical and chemical properties of hydrocarbons and their estimation methods. typical technologies, processes, and unit operations used in the characterization and processing of natural gas, crude oils, and canadian bitumen. lecture"
CHG,8303,Tissue Engineering and Regenerative Medicine Principles ,"The principles applied in the fields of tissue engineering and regenerative medicine to develop prospective therapeutic solution for a range of injuries and pathologies. A general discussion on the tissue engineering paradigm and building blocks (cells, biomaterials and bioactive cues) employed to engineer tissues. A range of tissue fabrication strategies using specific tissue/organ systems as examples. How engineering concepts, including bioreactor design, are exploited to drive innovation in the field. Additional aspects of regenerative medicine.",Lecture,,"tissue engineering and regenerative medicine principles. the principles applied in the fields of tissue engineering and regenerative medicine to develop prospective therapeutic solution for a range of injuries and pathologies. a general discussion on the tissue engineering paradigm and building blocks (cells, biomaterials and bioactive cues) employed to engineer tissues. a range of tissue fabrication strategies using specific tissue/organ systems as examples. how engineering concepts, including bioreactor design, are exploited to drive innovation in the field. additional aspects of regenerative medicine. lecture"
CHG,8304,Biomaterials: Principles and Applications ,"Classes of biomaterials, including metals, ceramics, polymers and composite materials; properties of biomaterials, characterizations of biomaterials, degradable biomaterials, modifications of biomaterials, and host responses to biomaterials. Applications of biomaterials, particularly drug delivery systems, and other applications of biomaterials in tissue engineering. Regulations on the use of biomaterials and special considerations on the use of biomaterial based implantable devices.",Lecture,,"biomaterials: principles and applications. classes of biomaterials, including metals, ceramics, polymers and composite materials; properties of biomaterials, characterizations of biomaterials, degradable biomaterials, modifications of biomaterials, and host responses to biomaterials. applications of biomaterials, particularly drug delivery systems, and other applications of biomaterials in tissue engineering. regulations on the use of biomaterials and special considerations on the use of biomaterial based implantable devices. lecture"
CHG,8305,Particulate and Multiphase Flow ,"The principal elements in the design and scale-up of various commercially important particulates and multiphase systems such as fixed beds, spouted beds, bubble columns and fluidized beds. Topics include flow regimes, hydrodynamics, heat and mass transfer, mixing, interfacial phenomena, chemical reaction and instrumentation.",Lecture,,"particulate and multiphase flow. the principal elements in the design and scale-up of various commercially important particulates and multiphase systems such as fixed beds, spouted beds, bubble columns and fluidized beds. topics include flow regimes, hydrodynamics, heat and mass transfer, mixing, interfacial phenomena, chemical reaction and instrumentation. lecture"
CHG,8306,Biopharmaceutics and Fermentation ,"Biopharmaceutics: General concepts and new developments in biopharmaceutics. Antibiotics and alternatives to antibiotics, antibodies, vaccines, microRNA, gene therapeutics and viral therapeutics. Fermentation and cell culture: cell growth kinetics; operation modes; expression of recombinant protein in bacteria, yeast, plant cells, insect cells, and mammalian cells. Bioseparation: solids/liquid separation (e.g., filtration, centrifugation, precipitation). Cell disruption; product recovery (distillation, membrane separation, ion exchange, affinity adsorption, solvent extraction, aqueous extraction, crystallization); concentration and drying (thin film evaporator, spray drying, frozen drying).",Lecture,,"biopharmaceutics and fermentation. biopharmaceutics: general concepts and new developments in biopharmaceutics. antibiotics and alternatives to antibiotics, antibodies, vaccines, microrna, gene therapeutics and viral therapeutics. fermentation and cell culture: cell growth kinetics; operation modes; expression of recombinant protein in bacteria, yeast, plant cells, insect cells, and mammalian cells. bioseparation: solids/liquid separation (e.g., filtration, centrifugation, precipitation). cell disruption; product recovery (distillation, membrane separation, ion exchange, affinity adsorption, solvent extraction, aqueous extraction, crystallization); concentration and drying (thin film evaporator, spray drying, frozen drying). lecture"
CHG,8333,Research Methodology and Communication ,"Tools and principles for efficient and proficient scientific communication and research project management. Best practices for preparing and delivering oral presentations to various audiences, and writing scientific papers, thesis and reports. Research methodology. Research project planning. Design of experiments with long-term and short-term objectives.",Lecture,,"research methodology and communication. tools and principles for efficient and proficient scientific communication and research project management. best practices for preparing and delivering oral presentations to various audiences, and writing scientific papers, thesis and reports. research methodology. research project planning. design of experiments with long-term and short-term objectives. lecture"
SEG,2105,Introduction to Software Engineering ,"Principles of software engineering: Requirements, design and testing. Review of principles of object orientation.  Object oriented analysis using UML.  Frameworks and APIs. Introduction to the client-server architecture. Analysis, design and programming of simple servers and clients. Introduction to user interface technology.","Laboratory, Lecture, Tutorial",Prerequisite:ITI 1121.,"introduction to software engineering. principles of software engineering: requirements, design and testing. review of principles of object orientation. object oriented analysis using uml. frameworks and apis. introduction to the client-server architecture. analysis, design and programming of simple servers and clients. introduction to user interface technology. laboratory, lecture, tutorial prerequisite:iti 1121."
